stationName,stationId,Distance,stationLine
CHOA CHU KANG LRT STATION,BP1,0,BP
FAJAR LRT STATION,BP10,5.2,BP
SEGAR LRT STATION,BP11,4.7,BP
JELAPANG LRT STATION,BP12,4,BP
SENJA LRT STATION,BP13,3.4,BP
SOUTH VIEW LRT STATION,BP2,0.6,BP
KEAT HONG LRT STATION,BP3,1,BP
TECK WHYE LRT STATION,BP4,1.6,BP
PHOENIX LRT STATION,BP5,2.1,BP
BUKIT PANJANG LRT STATION,BP6,2.8,BP
PETIR LRT STATION,BP7,3.2,BP
PENDING LRT STATION,BP8,3.9,BP
BANGKIT LRT STATION,BP9,4.3,BP
DHOBY GHAUT MRT STATION,CC1,0,CC
MACPHERSON MRT STATION,CC10,7.9,CC
TAI SENG MRT STATION,CC11,8.9,CC
BARTLEY MRT STATION,CC12,7.9,CC
SERANGOON MRT STATION,CC13,6.6,CC
LORONG CHUAN MRT STATION,CC14,7.5,CC
BISHAN MRT STATION,CC15,7.1,CC
MARYMOUNT MRT STATION,CC16,8.2,CC
CALDECOTT MRT STATION,CC17,7,CC
BUKIT BROWN MRT STATION,CC18,7,CC
BOTANIC GARDENS MRT STATION,CC19,5.1,CC
BRAS BASAH MRT STATION,CC2,0.6,CC
FARRER ROAD MRT STATION,CC20,6.1,CC
HOLLAND VILLAGE MRT STATION,CC21,7.6,CC
BUONA VISTA MRT STATION,CC22,8.5,CC
ONE-NORTH MRT STATION,CC23,9.3,CC
KENT RIDGE MRT STATION,CC24,10.1,CC
HAW PAR VILLA MRT STATION,CC25,10.3,CC
PASIR PANJANG MRT STATION,CC26,9,CC
LABRADOR PARK MRT STATION,CC27,7.6,CC
TELOK BLANGAH MRT STATION,CC28,6.8,CC
HARBOURFRONT MRT STATION,CC29,6.4,CC
ESPLANADE MRT STATION,CC3,1.3,CC
PROMENADE MRT STATION,CC4,2.1,CC
NICOLL HIGHWAY MRT STATION,CC5,2.9,CC
STADIUM MRT STATION,CC6,4.5,CC
MOUNTBATTEN MRT STATION,CC7,5.4,CC
DAKOTA MRT STATION,CC8,6.1,CC
PAYA LEBAR MRT STATION,CC9,6.8,CC
BAYFRONT MRT STATION,CE1,1.3,CE
MARINA BAY MRT STATION,CE2,2.2,CE
EXPO MRT STATION,CG1,1.9,CG
CHANGI AIRPORT MRT STATION,CG2,6.5,CG
BUKIT PANJANG MRT STATION,DT1,0,DT
STEVENS MRT STATION,DT10,11,DT
NEWTON MRT STATION,DT11,12.5,DT
LITTLE INDIA MRT STATION,DT12,14,DT
ROCHOR MRT STATION,DT13,14.5,DT
BUGIS MRT STATION,DT14,15.3,DT
PROMENADE MRT STATION,DT15,16.2,DT
BAYFRONT MRT STATION,DT16,17.5,DT
DOWNTOWN MRT STATION,DT17,18,DT
TELOK AYER MRT STATION,DT18,17.5,DT
CHINATOWN MRT STATION,DT19,16.9,DT
