fare_type,applicable_time,distance,fare_per_ride,Min,Max
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,59,0.0,3.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,69,3.3,4.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,80,4.3,5.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,90,5.3,6.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,99,6.3,7.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,106,7.3,8.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,113,8.3,9.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,117,9.3,10.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,121,10.3,11.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,125,11.3,12.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,129,12.3,13.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,133,13.3,14.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,138,14.3,15.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,142,15.3,16.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,146,16.3,17.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,150,17.3,18.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,154,18.3,19.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,157,19.3,20.2
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,160,20.3,21.2
